id,name,display_name,serving_size,serving_weight_g,calories,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,fluid_ml,allergens,digestion_speed,is_active,created_at,updated_at
f09e094b-8788-4daa-8283-008faf64a09f,pasta_cooked,"Pasta (cooked, no sauce)",1 cup,140.0,221,43.2,8.1,1.3,2.5,1.0,90.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
e5f7a18e-8c79-4536-8637-e016fa95b0e6,peanut_butter,Peanut Butter,1 tbsp,16.0,94,3.6,3.6,8.2,0.8,73.0,0.0,{peanuts},slow,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
6cb2ccdc-2c58-4cfc-86c6-97998a2737cc,pretzels,Pretzels,1 oz,28.0,108,23.0,2.8,1.0,0.9,385.0,0.0,{gluten},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
dbc8432a-c9d8-4fe5-8101-9903dfccca9e,raisins,Raisins,1 small box (1.5 oz),43.0,129,34.0,1.3,0.2,1.6,5.0,7.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
446daff0-32f3-4dda-9585-826df6a0b554,rice_cake_plain,Rice Cake (plain),1 cake,9.0,35,7.3,0.7,0.3,0.4,29.0,0.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
b1c0e097-ed02-4e89-893a-d86c31025d50,saltines,Saltines,5 crackers,15.0,63,10.6,1.4,1.7,0.4,135.0,0.0,{gluten},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
f0edd39f-86c3-4509-8f1a-95cf0067462d,scrambled_eggs,Scrambled Eggs,1 large egg,61.0,91,1.0,6.1,6.7,0.0,171.0,0.0,{eggs},slow,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
48f17db4-c3de-4401-b717-1f5329e1c026,sports_drink,Sports Drink,1 cup (8 oz),240.0,52,14.0,0.0,0.0,0.0,110.0,237.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
3f7bb5ac-6209-414a-9a23-5d321f6fd6cb,superhero_muffin,Superhero Muffin,1 muffin,85.0,180,25.0,4.0,7.0,2.5,155.0,15.0,"{gluten,eggs}",medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
870f1bcb-0ec5-4568-9c22-948b9c928584,sweet_potato,Sweet Potato (baked),1 medium,114.0,103,24.0,2.3,0.1,3.8,41.0,82.0,{},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
cbbe2813-03fb-4a8d-9d4b-92b888eea538,toaster_waffle,Toaster Waffle,1 waffle,35.0,95,15.4,2.0,3.0,0.5,212.0,10.0,"{gluten,eggs,dairy}",medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
8b0c5ba9-6431-47e8-8bea-082dc99f2714,water,Water,1 cup (8 oz),240.0,0,0.0,0.0,0.0,0.0,0.0,240.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
f79c878d-f667-452d-94b8-cda9ca0293c1,white_bread,White Bread,1 slice,25.0,66,12.7,1.8,0.8,0.6,130.0,0.0,{gluten},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
4633822f-5ce1-43c4-b522-5a08a8933e5e,white_rice_cooked,White Rice (cooked),1 cup,186.0,206,45.0,4.3,0.4,0.6,2.0,125.0,{},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
ffa55375-7504-452f-9461-ee2623af9fbd,whole_wheat_bread,Whole Wheat Bread,1 slice,28.0,69,11.6,3.6,1.0,1.9,132.0,0.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
